16
10	99	53	2	0	0	12.8497
108	91	71	1	1	0	13.3887
55	105	49	0	2	0	13.0294
176	103	55	0	1	1	13.4325
117	95	68	1	1	1	13.4716
29	76	65	0	0	1	11.956
67	64	78	1	1	0	11.8656
118	58	85	1	0	0	11.5135
179	65	80	1	1	1	11.92
83	57	87	1	0	1	12.3293
15	98	36	0	0	2	12.0737
112	26	102	0	2	0	11.5542
187	101	32	2	0	0	12.1986
122	26	104	1	1	0	11.8574
84	102	33	1	1	1	12.6355
8	60	89	0	0	2	12.6516

nv	12	11	10

Vehicles departing from depots at the previous stage:
29	76	65	0	0	1	11.956
67	64	78	1	1	0	11.8656
118	58	85	1	0	0	11.5135
179	65	80	1	1	1	11.92
83	57	87	1	0	1	12.3293
15	98	36	0	0	2	12.0737
112	26	102	0	2	0	11.5542
187	101	32	2	0	0	12.1986
122	26	104	1	1	0	11.8574
84	102	33	1	1	1	12.6355
8	60	89	0	0	2	12.6516
