15		102		52		1		0		12.8659		12.8659		0		0		0
74		70		94		1		0		13.5271		13.5271		0		0		0
6		116		22		1		0		13.2594		13.2594		0		0		0
11		40		113		1		0		13.9782		13.9782		0		0		0
61		73		96		1		0		13.6981		13.6981		0		0		0
80		113		45		1		0		13.7115		13.7115		0		0		0
14		44		116		1		0		13.7045		13.7045		0		0		0
70		104		73		1		0		14.3933		14.3933		0		0		0
135		103		77		1		0		13.9688		13.9688		0		0		0
159		120		47		1		0		13.7696		13.7696		0		0		0
119		59		115		1		0		14.0554		14.0554		0		0		0
112		80		103		1		0		14.8634		14.8634		0		0		0
173		120		52		1		0		14.8946		14.8946		0		0		0
12		129		24		1		21		13.1214		15.1214		0		1		1
153		64		115		1		27		13.1609		15.1609		1		1		0
104		103		82		1		16		13.1655		15.1655		1		1		1
146		82		103		1		19		13.1655		15.1655		1		1		0
2		107		77		1		26		13.1826		15.1826		2		0		0
137		26		130		1		16		13.2575		15.2575		1		1		0
166		109		78		1		24		13.4034		15.4034		2		0		0
100		69		115		1		15		13.4112		15.4112		1		1		0
121		120		60		1		21		13.4164		15.4164		1		0		1
125		103		86		1		17		13.4183		15.4183		0		0		2
89		69		116		1		25		13.497		15.497		0		2		0
113		78		111		1		18		13.5665		15.5665		1		0		1
87		137		7		1		27		13.7179		15.7179		0		2		0
184		67		120		1		18		13.7437		15.7437		0		2		0
190		8		138		1		8		13.8232		15.8232		1		1		0
63		55		127		1		13		13.8398		15.8398		1		1		1
7		12		138		1		43		13.8521		15.8521		2		0		0
103		17		138		1		26		13.9043		15.9043		1		1		0
144		119		73		1		16		13.9607		15.9607		2		0		0
122		85		111		1		21		13.9807		15.9807		2		0		0
132		138		24		1		4		14.0071		16.0071		2		0		0
195		56		129		1		18		14.0631		16.0631		1		1		0
182		100		99		1		16		14.0716		16.0716		2		0		0
21		46		133		1		17		14.073		16.073		1		0		1
32		115		82		1		9		14.1241		16.1241		2		0		0
177		125		68		1		14		14.2299		16.2299		0		2		0
114		116		83		1		27		14.2636		16.2636		1		0		1
164		37		138		1		24		14.2874		16.2874		1		1		0
35		63		129		1		27		14.3562		16.3562		2		0		0
67		140		36		1		20		14.4554		16.4554		0		2		0
51		140		42		1		25		14.6164		16.6164		1		1		0
31		64		132		1		1		14.6697		16.6697		0		1		1
147		107		102		1		4		14.7828		16.7828		1		1		1
170		110		99		1		15		14.799		16.799		0		1		1
99		49		140		1		7		14.8327		16.8327		0		1		1
186		117		92		1		3		14.8839		16.8839		1		1		1
149		123		84		1		12		14.8946		16.8946		1		1		0
157		135		65		1		15		14.9833		16.9833		0		0		2
143		56		139		1		10		14.9857		16.9857		1		0		1
193		97		115		1		4		15.0446		17.0446		1		1		0
129		64		138		1		8		15.2118		17.2118		0		2		0
52		139		68		1		15		15.4742		17.4742		0		1		1
49		116		105		1		23		15.6464		17.6464		1		1		1
127		139		72		1		5		15.6541		17.6541		2		0		0
27		139		73		1		13		15.7003		17.7003		1		0		1
54		103		119		1		29		15.7385		17.7385		2		0		0
93		120		102		1		19		15.7493		17.7493		2		0		0
162		114		109		1		5		15.7724		17.7724		0		1		1
22		138		78		1		20		15.8518		17.8518		1		0		1
124		137		84		1		20		16.0702		18.0702		2		0		0
201		95		135		1		22		16.5076		18.5076		0		2		0
41		92		138		1		10		16.5855		18.5855		2		0		0
169		137		96		1		18		16.7287		18.7287		0		0		2
43		115		124		1		10		16.9118		18.9118		0		2		0
140		137		101		1		13		17.0206		19.0206		1		0		1
77		109		131		1		5		17.0417		19.0417		0		1		1
123		121		123		1		30		17.254		19.254		1		0		1
9		121		124		1		20		17.3254		19.3254		0		0		2
79		138		105		1		26		17.3404		19.3404		2		0		0
18		104		139		1		5		17.36		19.36		1		1		1
3		109		139		1		19		17.6641		19.6641		0		1		1
188		139		110		1		7		17.726		19.726		1		0		1
171		136		123		1		20		18.3371		20.3371		2		0		0
172		133		130		1		9		18.5981		20.5981		2		0		0
163		137		127		1		9		18.681		20.681		1		1		1
17		132		133		1		9		18.7385		20.7385		1		1		1
116		137		137		1		3		19.3747		21.3747		0		0		2
