161	10.5392
151	60.9031
46	51.4761
187	38.5239
61	35.7398
124	78.6901
103	35.5874
58	59.0362
120	26.5651
197	39.8602
6	59.2547
9	54.9042
16	2.92498
174	60.8239
199	86.6822
167	66.584
131	85.0303
11	82.9772
185	31.5268
125	52.5563
196	9.86581
158	66.5339
139	44.7121
162	70.9213
146	35.4905
192	28.5462
201	35.5844
12	74.9911
91	63.9704
133	14.4208
32	16.6992
27	64.1336
39	43.6295
108	41.9872
142	70.71
123	38.1788
113	34.3302
186	25.71
85	68.0566
157	49.8531
51	65.1196
72	26.0683
129	42.1505
102	27.3835
49	27.7076
8	49.1223
195	40.3645
96	43.7156
179	29.4759
168	31.5141
25	54.8658
137	56.3099
198	35.0201
115	47.1566
45	36.3986
69	50.2375
14	45.4696
33	45.7015
128	37.2664
188	53.1961
22	51.8974
147	38.3569
160	42.1266
28	44.3465
194	42.8307
41	45.2162
7	45
