134	44.1186
160	73.1416
89	86.6822
193	51.1466
178	83.3865
142	12.0372
188	77.5604
49	43.5461
175	4.11491
17	75.0686
131	47.8913
97	48.1639
98	49.3106
197	49.8828
39	72.3324
141	76.1593
151	72.8381
27	45.5563
15	46.6683
23	72.926
60	47.4896
199	46.6523
153	45.8224
41	45.5457
16	48.5256
154	44.4595
106	47.1611
90	47.1409
170	46.3322
124	42.4664
43	42.2737
171	44.0122
135	43.7707
51	42.788
88	40.827
157	42.8068
113	42.32
30	40.3776
169	41.6335
80	41.4087
22	50.2375
93	48.6914
196	47.5295
53	47.9886
24	49.3635
146	47.0373
195	47.9184
76	48.8141
164	48.5763
183	49.4327
